longitude,latitude,Address,city,area,pType,subType,,-0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10
92.10140913,25.05642331,"Jaintiapur, Sylhet", Sylhet,Jaintiapur,Admin,Upazilla,,,,,,,,,,,,
88.9934358,26.0295005,"Jaldhaka, Nilphamari", Nilphamari,Jaldhaka,Admin,Upazilla,,,,,,,,,,,,
91.22360229,25.0034835,"Jamalganj, Sunamganj", Sunamganj,Jamalganj,Admin,Upazilla,,,,,,,,,,,,
89.94438171,24.93065348,"Jamalpur Sadar, Jamalpur", Jamalpur,Jamalpur Sadar,Admin,Upazilla,,,,,,,,,,,,
90.18814087,22.65330418,"Jhalokati Sadar, Jhalokati", Jhalokati,Jhalokati Sadar,Admin,Upazilla,,,,,,,,,,,,
89.16778564,23.56272834,"Jhenaidah Sadar, Jhenaidah", Jhenaidah,Jhenaidah Sadar,Admin,Upazilla,,,,,,,,,,,,
90.10505676,25.17884501,"Jhenaigati, Sherpur", Sherpur,Jhenaigati,Admin,Upazilla,,,,,,,,,,,,
89.09843445,23.10278634,"Jhikargachha, Jessore", Jessore,Jhikargachha,Admin,Upazilla,,,,,,,,,,,,
88.84919677,23.44108009,"Jiban Nagar, Chuadanga", Chuadanga,Jiban Nagar,Admin,Upazilla,,,,,,,,,,,,
89.01996546,25.1056102,"Joypurhat Sadar, Joypurhat", Joypurhat,Joypurhat Sadar,Admin,Upazilla,,,,,,,,,,,,
92.42251418,22.63088259,"Jurai Chhari, Rangamati", Rangamati,Jurai Chhari,Admin,Upazilla,,,,,,,,,,,,
92.14322443,24.55313061,"Juri, Maulvibazar", Maulvibazar,Juri,Admin,Upazilla,,,,,,,,,,,,
91.19476318,22.79643932,"Kabirhat, Noakhali", Noakhali,Kabirhat,Admin,Upazilla,,,,,,,,,,,,
90.88027954,23.34351672,"Kachua, Chandpur", Chandpur,Kachua,Admin,Upazilla,,,,,,,,,,,,
89.87476886,22.65227161,"Kachua, Bagerhat", Bagerhat,Kachua,Admin,Upazilla,,,,,,,,,,,,
89.2666626,24.82911768,"Kahaloo, Bogra", Bogra,Kahaloo,Admin,Upazilla,,,,,,,,,,,,
88.65829468,25.80978198,"Kaharole, Dinajpur", Dinajpur,Kaharole,Admin,Upazilla,,,,,,,,,,,,
90.22109985,21.99271521,"Kala Para, Patuakhali", Patuakhali,Kala Para,Admin,Upazilla,,,,,,,,,,,,
89.16778564,25.06320924,"Kalai, Joypurhat", Joypurhat,Kalai,Admin,Upazilla,,,,,,,,,,,,
89.03800964,22.86099101,"Kalaroa, Satkhira", Satkhira,Kalaroa,Admin,Upazilla,,,,,,,,,,,,
